# x   seno   coseno   amortiguada
6.03884 -0.241922 0.970296 -0.389713
6.05629 -0.224951 0.97437 -0.36962
6.07375 -0.207912 0.978148 -0.347816
6.0912 -0.190809 0.981627 -0.324414
6.10865 -0.173648 0.984808 -0.299535
6.12611 -0.156434 0.987688 -0.273308
6.14356 -0.139173 0.990268 -0.245864
6.16101 -0.121869 0.992546 -0.217344
6.17847 -0.104528 0.994522 -0.18789
6.19592 -0.0871557 0.996195 -0.15765
6.21337 -0.0697565 0.997564 -0.126775
6.23083 -0.052336 0.99863 -0.0954173
6.24828 -0.0348995 0.999391 -0.0637318
6.26573 -0.0174524 0.999848 -0.0318741
6.28319 -2.44929e-16 1 -4.46691e-16
